Date,Open,High,Low,Close,Adj Close,Volume,OpenSPY,HighSPY,LowSPY,CloseSPY,AdjCloseSPY,VolumeSPY,
2020-01-02,424.5,430.700012,421.709991,0,430.26001,9532100,323.540009,324.890015,322.529999,0,318.914307,59151200,#¡DIV/0!
2020-01-03,440.5,454,436.920013,0.029633244,443.01001,17778500,321.160004,323.640015,321.100006,-0.007572232,316.499451,77709700,#¡DIV/0!
2020-01-06,440.470001,451.559998,440,0.049458463,451.540009,10133000,320.48999,323.730011,320.359985,-0.003786068,317.706909,55653900,#¡DIV/0!
2020-01-07,461.399994,471.630005,453.359985,0.090178002,469.059998,17882100,323.019989,323.540009,322.23999,-0.006587201,316.813568,40496400,#¡DIV/0!
2020-01-08,473.700012,498.48999,468.230011,0.143820024,492.140015,31144300,322.940002,325.779999,322.670013,-0.001292773,318.502075,68296000,#¡DIV/0!
2020-01-09,497.100006,498.799988,472.869995,0.118718879,481.339996,28440400,326.160004,326.730011,325.519989,0.005479112,320.661682,48473300,#¡DIV/0!
2020-01-10,481.790009,484.940002,473.700012,0.111304753,478.149994,12959500,327.290009,327.459991,325.200012,0.002585637,319.738922,53029300,#¡DIV/0!
2020-01-13,493.5,525.630005,492,0.219866994,524.859985,26517600,326.390015,327.959991,325.920013,0.009480768,321.937866,47086800,#¡DIV/0!
2020-01-14,544.26001,547.409973,524.900024,0.250220728,537.919983,28996200,327.470001,328.619995,326.839996,0.007941691,321.447052,62832800,#¡DIV/0!
2020-01-15,529.76001,537.840027,516.789978,0.205085269,518.5,17368800,327.350006,329.019989,327.26001,0.010219494,322.173462,72056600,#¡DIV/0!
2020-01-16,493.75,514.460022,492.170013,0.193441124,513.48999,21736700,329.700012,330.920013,329.450012,0.018622889,324.853424,54050300,#¡DIV/0!
2020-01-17,507.609985,515.669983,503.160004,0.186491861,510.5,13629100,331.700012,332.179993,330.850006,0.021793385,325.864594,95846000,#¡DIV/0!
2020-01-21,530.25,548.580017,528.409973,0.271789149,547.200012,17803500,330.899994,332.179993,330.820007,0.019792511,325.226471,77742400,#¡DIV/0!
2020-01-22,571.890015,594.5,559.099976,0.323757692,569.559998,31369000,332.23999,332.950012,331.170013,0.019915662,325.265717,48914900,#¡DIV/0!
2020-01-23,564.25,582,555.599976,0.32989355,572.200012,19651000,330.630005,332.170013,329.410004,0.021085376,325.638763,51963000,#¡DIV/0!
2020-01-24,570.630005,573.859985,554.26001,0.312741119,564.820007,14353600,332.440002,332.529999,327.359985,0.012004784,322.742828,87578400,#¡DIV/0!
2020-01-27,541.98999,564.440002,539.280029,0.296936752,558.02002,13608100,323.029999,325.119995,322.660004,-0.004217056,317.569458,84062500,#¡DIV/0!
2020-01-28,568.48999,576.809998,558.080017,0.317575445,566.900024,11788500,325.059998,327.850006,323.600006,0.006217933,320.897308,63834000,#¡DIV/0!
2020-01-29,575.690002,589.799988,567.429993,0.350323006,580.98999,17801500,328.380005,328.630005,326.399994,0.00538677,320.632233,53888900,#¡DIV/0!
2020-01-30,632.419983,650.880005,618,0.489355234,640.809998,29005700,324.359985,327.910004,323.540009,0.008649608,321.672821,75491800,#¡DIV/0!
2020-01-31,640,653,632.52002,0.512039213,650.570007,15719300,327,327.170013,320.730011,-0.009665356,315.831909,113845600,#¡DIV/0!
2020-02-03,673.690002,786.140015,673.52002,0.8128573,780,47233500,323.350006,326.160004,323.220001,-0.002308616,318.178101,69242300,#¡DIV/0!
2020-02-04,882.960022,968.98999,833.880005,1.061683581,887.059998,60938800,328.070007,330.01001,327.720001,0.012897476,323.027496,62573200,#¡DIV/0!
2020-02-05,823.26001,845.97998,704.109985,0.707572154,734.700012,48423800,332.269989,333.089996,330.670013,0.024594423,326.757843,65951100,#¡DIV/0!
2020-02-06,699.919983,795.830017,687,0.740714927,748.960022,39880800,333.910004,334.190002,332.799988,0.028042036,327.85733,50359700,#¡DIV/0!
2020-02-07,730.549988,769.75,730,0.738646376,748.070007,17063500,332.820007,333.98999,331.600006,0.022562924,326.109955,64139400,#¡DIV/0!
2020-02-10,800,819.98999,752.400024,0.792590552,771.280029,24689200,331.230011,334.75,331.190002,0.030196688,328.544495,42070000,#¡DIV/0!
2020-02-11,768.789978,783.51001,758,0.799795442,774.380005,11697500,336.160004,337.019989,334.679993,0.03198207,329.113861,54864500,#¡DIV/0!
2020-02-12,777.869995,789.75,763.369995,0.783316972,767.289978,12022500,336.829987,337.649994,336.429993,0.038630893,331.234283,43992700,#¡DIV/0!
2020-02-13,741.840027,818,735,0.868637525,804,26289300,335.859985,338.119995,335.559998,0.037522711,330.880859,54501900,#¡DIV/0!
2020-02-14,787.219971,812.969971,785.5,0.859410613,800.030029,15693700,337.51001,337.730011,336.200012,0.039184939,331.41098,64582200,#¡DIV/0!
2020-02-18,841.599976,860,832.359985,0.995072756,858.400024,16381700,336.51001,337.670013,335.209991,0.03650696,330.556915,57226200,#¡DIV/0!
2020-02-19,923.5,944.780029,901.02002,1.13224553,917.419983,25423000,337.790009,339.079987,337.480011,0.041462743,332.13736,48814700,#¡DIV/0!
2020-02-20,911.950012,912,859.940002,1.090387096,899.409973,17634900,337.73999,338.640015,333.679993,0.037184157,330.772919,74163400,#¡DIV/0!
2020-02-21,906.97998,913.059998,880.450012,1.094082599,901,14314800,335.470001,335.809998,332.579987,0.026502959,327.366516,113788200,#¡DIV/0!
2020-02-24,839,863.5,822.200012,0.937874677,833.789978,15192200,323.140015,333.559998,321.23999,-0.007541423,316.509247,161088400,#¡DIV/0!
2020-02-25,849,856.599976,787,0.859131582,799.909973,17223200,323.940002,324.609985,311.690002,-0.03761505,306.918335,218913200,#¡DIV/0!
2020-02-26,782.5,813.309998,776.109985,0.810068261,778.799988,14085500,314.179993,318.109985,310.700012,-0.041154909,305.789459,194773800,#¡DIV/0!
2020-02-27,730,739.77002,669,0.578115521,679,24149300,305.459991,311.559998,297.51001,-0.084218258,292.055939,284353500,#¡DIV/0!
