Date,Open,High,Low,Close,Adj Close,Volume,OpenSPY,HighSPY,LowSPY,CloseSPY,AdjCloseSPY,VolumeSPY
2020-01-02,1875,1898.01001,1864.150024,0,1898.01001,4029000,323.540009,324.890015,322.529999,0,318.914307,59151200
2020-01-03,1864.5,1886.199951,1864.5,-0.006222338,1874.969971,3764400,321.160004,323.640015,321.100006,-0.007572232,316.499451,77709700
2020-01-06,1860,1903.689941,1860,0.002992572,1902.880005,4061800,320.48999,323.730011,320.359985,-0.003786068,317.706909,55653900
2020-01-07,1904.5,1913.890015,1892.040039,0.00836666,1906.859985,4044900,323.019989,323.540009,322.23999,-0.006587201,316.813568,40496400
2020-01-08,1898.040039,1911,1886.439941,0.006844005,1891.969971,3508000,322.940002,325.779999,322.670013,-0.001292773,318.502075,68296000
2020-01-09,1909.890015,1917.819946,1895.800049,0.010437214,1901.050049,3167300,326.160004,326.730011,325.519989,0.005479112,320.661682,48473300
2020-01-10,1905.369995,1906.939941,1880,0.004704891,1883.160034,2853700,327.290009,327.459991,325.200012,0.002585637,319.738922,53029300
2020-01-13,1891.310059,1898,1880.800049,-5.27394E-06,1891.300049,2780800,326.390015,327.959991,325.920013,0.009480768,321.937866,47086800
2020-01-14,1885.880005,1887.109985,1858.550049,-0.00574287,1869.439941,3440900,327.470001,328.619995,326.839996,0.007941691,321.447052,62832800
2020-01-15,1872.25,1878.859985,1855.089966,-0.010089528,1862.02002,2896600,327.350006,329.019989,327.26001,0.010219494,322.173462,72056600
2020-01-16,1882.98999,1885.589966,1866.02002,-0.006543719,1877.939941,2659500,329.700012,330.920013,329.450012,0.018622889,324.853424,54050300
2020-01-17,1885.890015,1886.640015,1857.25,-0.005990482,1864.719971,3997300,331.700012,332.179993,330.850006,0.021793385,325.864594,95846000
2020-01-21,1865,1894.27002,1860,-0.00197048,1892,3707800,330.899994,332.179993,330.820007,0.019792511,325.226471,77742400
2020-01-22,1896.089966,1902.5,1883.339966,0.00236563,1887.459961,3216300,332.23999,332.950012,331.170013,0.019915662,325.265717,48914900
2020-01-23,1885.109985,1889.97998,1872.76001,-0.004230763,1884.579956,2484600,330.630005,332.170013,329.410004,0.021085376,325.638763,51963000
2020-01-24,1891.369995,1894.98999,1847.439941,-0.001591151,1861.640015,3766200,332.440002,332.529999,327.359985,0.012004784,322.742828,87578400
2020-01-27,1820,1841,1815.339966,-0.030036728,1828.339966,3528500,323.029999,325.119995,322.660004,-0.004217056,317.569458,84062500
2020-01-28,1840.5,1858.109985,1830.02002,-0.021022031,1853.25,2808000,325.059998,327.850006,323.600006,0.006217933,320.897308,63834000
2020-01-29,1864,1874.75,1855.02002,-0.012254946,1858,2088000,328.380005,328.630005,326.399994,0.00538677,320.632233,53888900
2020-01-30,1858,1872.869995,1850.609985,-0.01324546,1870.680054,6327400,324.359985,327.910004,323.540009,0.008649608,321.672821,75491800
2020-01-31,2051.469971,2055.719971,2002.27002,0.08309227,2008.719971,15567300,327,327.170013,320.730011,-0.009665356,315.831909,113845600
2020-02-03,2010.599976,2048.5,2000.25,0.079288302,2004.199951,5899100,323.350006,326.160004,323.220001,-0.002308616,318.178101,69242300
2020-02-04,2029.880005,2059.800049,2015.369995,0.085241931,2049.669922,5289300,328.070007,330.01001,327.720001,0.012897476,323.027496,62573200
2020-02-05,2071.02002,2071.02002,2032,0.091153371,2039.869995,4376200,332.269989,333.089996,330.670013,0.024594423,326.757843,65951100
2020-02-06,2041.02002,2056.300049,2024.800049,0.083397895,2050.22998,3183000,333.910004,334.190002,332.799988,0.028042036,327.85733,50359700
2020-02-07,2041.98999,2098.530029,2038.099976,0.105647503,2079.280029,5095300,332.820007,333.98999,331.600006,0.022562924,326.109955,64139400
2020-02-10,2085.01001,2135.600098,2084.959961,0.125178522,2133.909912,5056200,331.230011,334.75,331.190002,0.030196688,328.544495,42070000
2020-02-11,2150.899902,2185.949951,2136,0.151706229,2150.800049,5746000,336.160004,337.019989,334.679993,0.03198207,329.113861,54864500
2020-02-12,2163.199951,2180.25,2155.290039,0.148703109,2160,3334300,336.829987,337.649994,336.429993,0.038630893,331.234283,43992700
2020-02-13,2144.98999,2170.280029,2142,0.143450255,2149.870117,3031800,335.859985,338.119995,335.559998,0.037522711,330.880859,54501900
2020-02-14,2155.679932,2159.040039,2125.889893,0.137528268,2134.870117,2606200,337.51001,337.730011,336.200012,0.039184939,331.41098,64582200
2020-02-18,2125.02002,2166.070068,2124.110107,0.141232162,2155.669922,2945600,336.51001,337.670013,335.209991,0.03650696,330.556915,57226200
2020-02-19,2167.800049,2185.100098,2161.120117,0.151258469,2170.219971,2561200,337.790009,339.079987,337.480011,0.041462743,332.13736,48814700
2020-02-20,2173.070068,2176.790039,2127.449951,0.146880168,2153.100098,3131300,337.73999,338.640015,333.679993,0.037184157,330.772919,74163400
2020-02-21,2142.149902,2144.550049,2088,0.129893961,2095.969971,4646300,335.470001,335.809998,332.579987,0.026502959,327.366516,113788200
2020-02-24,2003.180054,2039.300049,1987.969971,0.074441145,2009.290039,6547000,323.140015,333.559998,321.23999,-0.007541423,316.509247,161088400
2020-02-25,2026.420044,2034.599976,1958.420044,0.071964829,1972.73999,6198800,323.940002,324.609985,311.690002,-0.03761505,306.918335,218913200
2020-02-26,1970.280029,2014.670044,1960.449951,0.061464393,1979.589966,5224600,314.179993,318.109985,310.700012,-0.041154909,305.789459,194773800
2020-02-27,1934.380005,1975,1882.76001,0.040563532,1884.300049,8112100,305.459991,311.559998,297.51001,-0.084218258,292.055939,284353500
2020-02-28,1814.630005,1889.76001,1811.130005,-0.004346658,1883.75,9493800,288.700012,297.890015,285.540009,-0.088065951,290.828827,385764000
2020-03-02,1906.48999,1954.51001,1870,0.02976802,1953.949951,6761700,298.209991,309.160004,294.459991,-0.048573273,303.423584,238703600
2020-03-03,1975.369995,1996.329956,1888.089966,0.051801595,1908.98999,7534500,309.5,313.839996,297.570007,-0.075814958,294.73587,300139100
2020-03-04,1946.569946,1978,1922,0.042144135,1975.829956,4772900,306.119995,313.100006,303.329987,-0.036968665,307.124481,176613400
2020-03-05,1933,1960.719971,1910,0.033039847,1924.030029,4748200,304.980011,308.470001,300.01001,-0.068981452,296.915161,186366800
2020-03-06,1875,1910.869995,1869.5,0.00677551,1901.089966,5273600,293.149994,298.779999,290.230011,-0.084372224,292.006836,228667200
2020-03-09,1773.859985,1862.77002,1761.290039,-0.018566809,1800.609985,7813200,275.299988,284.190002,273.450012,-0.155877689,269.202698,309417300
2020-03-10,1870.880005,1894.27002,1818.170044,-0.00197048,1891.819946,7133300,284.640015,288.519989,273.5,-0.112198672,283.132568,276444100
2020-03-11,1857.849976,1871.319946,1801.5,-0.01406213,1820.859985,5624800,280.700012,281.940002,270.880005,-0.155477609,269.330322,255316300
2020-03-12,1721.97998,1765,1675,-0.070078666,1676.609985,11346200,256,266.660004,247.679993,-0.236279112,243.561539,392220700
2020-03-13,1755,1786.310059,1680.619995,-0.058851086,1785,8809700,263.089996,271.480011,248.520004,-0.170991439,264.38269,329566100
